ID,O1V1,O1V2,O1V3,O1V4,O1V5,O1VNO,O2V1,O2V2,O2V3,O2V4,O2V5,O2VNO,O3V1,O3V2,O3V3,O3V4,O3V5,O3VNO,O4V1,O4V2,O4V3,O4V4,O4V5,O4VNO,O5V1,O5V2,O5V3,O5V4,O5V5,O5VNO
1,,,x,,,,x,,,,,,,,,x,,,,,,x,,,x,,,,
2,,,,x,,,,x,,,,,x,,,,,,,,,,x,,,,x,,
3,,,x,,,,x,,,,,,,x,,,,,x,,,,,,,,,x,
4,,,,,x,,,,,x,,,,x,,,,,,,x,,,,x,,,,
5,,x,,,,,,,x,,,,,,,,x,,x,,,,,,,,,x,
6,,,,,x,,,,,,x,,,,,,x,,,,x,,,,x,,,,
7,,,x,,,,,x,,,,,x,,,,,,x,,,,,,,,,,x
8,x,,,,,,x,,,,,,,,x,,,,,,x,,,,,x,,,
9,,x,,,,,,,x,,,,x,,,,,,,,x,,,,,,,x,
10,,,,x,,,,,x,,,,,,,x,,,,,x,,,,,,x,,
11,,,x,,,,,x,,,,,,,,,x,,,,x,,,,,,x,,
12,,,,,x,,,,,x,,,,,x,,,,,,x,,,,,x,,,
13,x,,,,,,x,,,,,,,,x,,,,,x,,,,,,,,x,
14,,,,,x,,x,,,,,,,,x,,,,,x,,,,,,,,x,
15,x,,,,,,x,,,,,,,,,x,,,,,x,,,,,,,x,
16,,,x,,,,,,,x,,,,,,,x,,,,,,,x,x,,,,
17,,,x,,,,x,,,,,,x,,,,,,,x,,,,,,x,,,
18,x,,,,,,,,,,x,,x,,,,,,,x,,,,,x,,,,
19,,,x,,,,,,x,,,,x,,,,,,,x,,,,,,,x,,
20,,,x,,,,x,,,,,,,,,x,,,,,,,,x,,x,,,
21,,x,,,,,,,x,,,,,x,,,,,x,,,,,,,x,,,
22,,x,,,,,x,,,,,,,x,,,,,,x,,,,,x,,,,
23,,,,x,,,x,,,,,,,,,,,x,,,x,,,,,x,,,
24,,,,x,,,,,,x,,,,,,,x,,,,,x,,,,,,x,
25,,,x,,,,,x,,,,,,,,x,,,,,x,,,,x,,,,
26,,,x,,,,,x,,,,,,,,x,,,,,,x,,,,,x,,
27,,,,,x,,,,,,x,,,,,,x,,,,x,,,,,,,,x
28,,,,x,,,,,x,,,,,x,,,,,,x,,,,,,x,,,
29,,,x,,,,,x,,,,,,,x,,,,,x,,,,,x,,,,
30,,,,x,,,,x,,,,,,x,,,,,,x,,,,,x,,,,
31,,x,,,,,,x,,,,,x,,,,,,x,,,,,,x,,,,
32,x,,,,,,,x,,,,,,,x,,,,x,,,,,,,,x,,
33,x,,,,,,x,,,,,,,,x,,,,,x,,,,,,x,,,
34,,x,,,,,,x,,,,,x,,,,,,x,,,,,,x,,,,
35,,,x,,,,,x,,,,,,,,,x,,,x,,,,,x,,,,
36,,,,,x,,,,,x,,,,,x,,,,,,x,,,,,x,,,
37,,,x,,,,,x,,,,,,,x,,,,,x,,,,,,,x,,
38,,,,x,,,,,,,x,,,x,,,,,,x,,,,,x,,,,
39,,,x,,,,,,x,,,,,x,,,,,,,x,,,,,x,,,
